iterations, matrix_dim, etime, flops, cores
3376, 1024, 0.494755, 35775207688.653976, 17
3376, 1024, 0.456398, 38781858991.494270, 17
3376, 1024, 0.494435, 35798361523.759445, 17
3376, 1024, 0.467088, 37894278765.457474, 17
3376, 1024, 0.505904, 34986801606.628922, 17
3376, 1024, 0.484659, 36520446086.836319, 17
3376, 1024, 0.493170, 35890185696.615768, 17
3376, 1024, 0.466211, 37965562545.714279, 17
3376, 1024, 0.513517, 34468114745.957779, 17
3376, 1024, 0.444023, 39862716300.732170, 18
3376, 1024, 0.474151, 37329801856.370651, 18
3376, 1024, 0.449661, 39362904232.299446, 18
3376, 1024, 0.505100, 35042492338.150864, 18
3376, 1024, 0.448094, 39500557650.850044, 18
3376, 1024, 0.465615, 38014159509.465973, 18
3376, 1024, 0.444367, 39831857181.113815, 18
3376, 1024, 0.491911, 35982043255.792206, 18
3376, 1024, 0.464905, 38072214495.434555, 18
3376, 1024, 0.486373, 36391746416.844688, 18
3376, 1024, 0.452537, 39112741897.347626, 19
3376, 1024, 0.463425, 38193802405.998817, 19
3376, 1024, 0.452107, 39149942115.472664, 19
3376, 1024, 0.430306, 41133432673.492821, 19
3376, 1024, 0.427812, 41373226744.457848, 19
3376, 1024, 0.438316, 40381740296.954712, 19
3376, 1024, 0.439530, 40270204263.645256, 19
3376, 1024, 0.466582, 37935374446.506721, 19
3376, 1024, 0.439700, 40254634705.481010, 19
3376, 1024, 0.449692, 39360190708.307022, 19
3376, 1024, 6.520936, 2714328568.782150, 1
3376, 1024, 6.572980, 2692836868.513216, 1
3376, 1024, 6.879215, 2572962595.296120, 1
3376, 1024, 6.584379, 2688174978.991944, 1
3376, 1024, 6.796589, 2604242051.417263, 1
3376, 1024, 6.633680, 2668196669.118800, 1
3376, 1024, 6.429196, 2753060084.029170, 1
3376, 1024, 6.560567, 2697931883.021696, 1
3376, 1024, 6.252618, 2830808291.822721, 1
3376, 1024, 6.583289, 2688620062.099659, 1
3376, 1024, 0.445354, 39743581240.990318, 20
3376, 1024, 0.433490, 40831306097.026459, 20
3376, 1024, 0.433733, 40808430255.479759, 20
3376, 1024, 0.442335, 40014836899.634895, 20
3376, 1024, 0.423151, 41828952028.944748, 20
3376, 1024, 0.453495, 39030116936.239655, 20
3376, 1024, 0.449617, 39366756328.163750, 20
3376, 1024, 0.451509, 39201794161.356697, 20
3376, 1024, 0.442760, 39976427138.856270, 20
3376, 1024, 0.450238, 39312458921.725845, 20
3376, 1024, 0.419378, 42205272761.089043, 21
3376, 1024, 0.446408, 39649743911.399437, 21
3376, 1024, 0.431041, 41063293004.609772, 21
3376, 1024, 0.431876, 40983900193.574081, 21
3376, 1024, 0.432055, 40966920600.386528, 21
3376, 1024, 0.412854, 42872208771.139435, 21
3376, 1024, 0.439913, 40235143948.917175, 21
3376, 1024, 0.409836, 43187916337.266617, 21
3376, 1024, 0.449706, 39358965368.485191, 21
3376, 1024, 0.411917, 42969731475.030167, 21
3376, 1024, 0.430621, 41103343496.949753, 22
3376, 1024, 0.423241, 41820057319.588608, 22
3376, 1024, 0.433512, 40829233977.375488, 22
3376, 1024, 0.421315, 42011233590.069191, 22
3376, 1024, 0.423305, 41813734494.040939, 22
3376, 1024, 0.443669, 39894522448.041222, 22
3376, 1024, 0.418908, 42252625588.434692, 22
3376, 1024, 0.451844, 39172729703.171890, 22
3376, 1024, 0.427037, 41448312160.304611, 22
3376, 1024, 0.420609, 42081750224.079849, 22
3376, 1024, 0.426457, 41504683660.955269, 23
3376, 1024, 0.414608, 42690837803.419136, 23
3376, 1024, 0.437254, 40479819235.501564, 23
3376, 1024, 0.413062, 42850620197.452202, 23
3376, 1024, 0.417680, 42376850411.798508, 23
3376, 1024, 0.411258, 43038586191.636398, 23
3376, 1024, 0.434455, 40740612675.651108, 23
3376, 1024, 0.407187, 43468880096.859680, 23
3376, 1024, 0.421845, 41958451279.498398, 23
3376, 1024, 0.430163, 41147106747.907196, 23
3376, 1024, 0.414651, 42686410692.365387, 24
3376, 1024, 0.425805, 41568236352.320900, 24
3376, 1024, 0.417625, 42382431319.964088, 24
